Start time,End time,Transcript
6.100,6.600,"wow"
7.800,9.000," well great that"
9.300,10.400," everybody could make it"
11.200,12.000," thank you for coming"
13.200,13.400," yeah"
14.800,16.900," ummm we're we've got a we've got a"
17.600,18.800," deep dive happening"
20.200,20.900," deep but"
21.600,21.800," but"
22.300,22.900," but easy"
23.300,24.800," nice restful"
25.300,26.600," easeful not"
27.400,28.400," not grueling"
29.400,33.500," not like going to a Zen monastery and having to get over 4 a.m."
34.400,35.900," and having to not move a muscle"
36.400,38.400," but 12 hours of the day you know"
39.100,39.800," not like that"
40.900,42.300," this is an easy way"
43.600,44.800," is a way of"
45.900,46.500," contacting"
49.700,51.100," in the midst of our busy"
51.300,51.900," lives"
53.200,53.700," a great"
54.800,55.300," space"
57.000,58.700," that's actually always here"
62.100,63.600," waiting to be recognised"
64.100,64.500," basically"
66.200,67.300," and you know we've we've"
69.100,71.400," actually I must say I always get it because I live in a"
72.100,73.500," little mountain City"
74.000,75.300," and a large space"
75.700,76.800," all around you know"
77.300,78.600," the mountains the desert"
79.500,80.000," forests"
82.000,84.700," and staggeringly beautiful Dawn's"
85.300,88.600," and even more beautiful sunsets every day basically"
89.600,90.600," and a huge Sky"
91.700,92.400," I get"
92.600,94.300," a very big thrill coming back"
94.700,100.500," to a city a real city I mean I've lived in New York I lived in London I lived in Edinburgh"
103.700,105.100," and there's that congest"
105.500,107.100," you know you know what I mean it's tight"
107.600,109.500," it's tight they're sort of isn't space you know"
110.400,114.200," it's going to buildings everywhere people everywhere in how houses everywhere cars everywhere"
114.900,117.500," and actually it's it's a real thrill when you know live among"
118.400,119.300," that but the thing is that"
119.700,121.500," actually even in"
122.400,123.100," the congested"
124.000,124.500," City"
125.800,126.700," this space"
128.100,128.600," I'm talking about"
129.500,130.500," is still present"
132.800,135.900," it's like you know we call this weekend three days"
136.400,137.100," going deeper"
139.000,139.200," and"
141.000,144.000," again that I don't know whether that sounds inviting or daunting or"
144.900,146.200," or neither"
146.600,149.300," but actually the the point about the deeper"
150.300,150.500," part is"
151.100,152.300," that just under"
153.900,156.200," the surface of our lives"
156.800,160.500," just under our lives as we know them as we commonly experienced them"
161.600,163.400," the ordinarily experienced that"
165.000,169.100," it's it's it's it's that the right preposition is hard to find you can say under"
170.600,171.400," kind of"
171.800,172.400," within"
173.900,174.500," ah kind of"
175.100,175.700," behind"
176.800,178.400," our ordinary sense of things"
179.400,180.100," kind of"
181.100,181.600," beyond"
182.500,185.700," our ordinary sense of things I don't like that so much it sounds a bit grand"
186.200,186.300," but"
186.800,187.600," just here"
189.700,193.000," when we engage in stillness in being still"
193.700,194.600," in being quiet"
195.400,195.600," in"
196.100,197.000," detaching"
197.800,198.700," disengaging"
199.400,199.500," from"
200.300,203.100," the whole a to b model"
204.000,205.400," I'm here and I got to get there"
206.000,207.900," that's things that I want and I got to get it"
208.400,209.300," a to b"
209.600,211.300," their home model that somehow"
212.100,213.200," what I really need"
214.000,215.000," is not quite here"
216.500,219.900," you know whether it's getting stuff or getting you know a new job"
220.600,221.200," a new"
221.600,223.200," home a new partner a new life"
224.200,226.000," if I just had a slightly different life"
226.800,227.600," all will be well"
228.000,231.600," a to b when we just disengage from that we don't say"
232.200,234.300," no no you're wrong don't try to get that we just say"
235.200,236.100," put that down"
238.100,239.300," just for a little bit"
241.200,241.800," put down"
242.800,243.500," the AA"
244.100,244.500," to b"
245.600,245.900," model"
247.700,250.300," as words worth called it getting and spending"
251.300,253.600," getting and spending we lay waste our"
254.000,254.400," powers"
255.300,258.300," why do we do that we'll because basically if we stop doing that"
258.900,259.500," trying to get"
260.000,261.700," trying to spend trying to get trying to spend"
262.100,263.200," if we stop doing that"
264.800,265.200," that we find"
266.000,266.500," that what"
268.600,270.300," we really really need"
271.600,272.100," and want"
273.400,274.700," perhaps has been here"
276.100,276.600," all along"
277.900,278.100," just"
278.500,278.900," waiting"
280.000,281.000," for us to stop"
282.500,283.400," the a to b"
283.900,284.100," model"
285.300,286.000," if you see what I mean"
286.700,288.000," so in the midst of"
288.400,289.900," our ordinary a to b"
290.300,290.700," living"
291.300,291.600," actually"
292.800,294.100," is present all the time"
294.900,295.500," what's present"
296.200,297.400," well there's no name for it"
