Start time,End time,Transcript
1.800,2.600,"good to"
2.800,4.700," to be here on this lovely morning"
8.000,8.700," can you feel"
10.200,13.700," that that you spend the last two days more engaged"
14.300,15.300," much more engaged"
16.400,16.600," than"
17.100,17.500," normally"
18.400,19.100," with practice"
20.000,21.500," and that you've been doing it with others"
22.600,22.800," yeah"
25.300,25.600," so just"
26.000,27.000," you know let that in"
27.300,27.700," and a little bit"
45.200,48.400," there's a process of kind of refining the atmosphere"
49.300,51.100," that goes on in a in a retreat"
51.500,51.800," where"
54.000,55.700," each of us individually"
56.400,57.300," is getting more"
58.600,59.900," kind of a aligned"
60.300,60.500," with"
62.800,66.200," reality really we're getting more aligned with"
67.400,68.000," how things are"
68.900,69.800," and at the same time"
71.300,73.400," all of us are sort of collectively-"
74.000,77.700," dining in in some hidden way kind of to one another"
79.100,81.900," and we maybe more or less aware of that I used to feel"
82.700,85.500," doing the Deep zen retreats after a while"
86.200,89.900," that because then during the xen riches you're you know as I said you have mostly"
90.600,92.000," basically looking at a wall"
92.400,94.900," or at the back of somebody between you and the wall"
95.400,97.400," you know depending on a number of rows or maybe the"
97.500,98.400," the back of somebody"
99.400,102.000," who's looking at the back of somebody else who's looking at the war"
102.200,104.200," you know but three rows per side"
105.000,105.100," and"
106.500,109.800," so you're not looking at one another and it's actually a one of the"
111.100,114.900," guidelines in those retreats is not to look at one another"
116.000,117.600," you know through the days you you"
118.500,122.100," you're trying to drop the cronico social self"
123.200,124.700," the one that is habituated to"
125.200,127.800," glance is smiles in a little nods and"
128.400,130.400," none of that you just let that all go"
131.400,138.100," and at first people think oh God there's so rude you know but gradually you get used to it and you realise"
139.000,143.200," that something else is being allowed to come forth"
143.400,144.400," which is"
145.200,148.400," a way that we can sense one another"
150.000,153.700," not see and hear one another but since one another"
154.700,157.000," and gradually through the days that gets"
157.500,158.100," stronger"
158.900,161.500," so you come back to your seat in the end of"
162.500,164.600," you know you sit there facing"
166.500,166.900," away"
167.300,169.700," from other people's faces you're just"
170.700,172.300," eyes open gaze lowered"
173.600,173.800," and"
175.300,177.700," you know you might think of it as the seat of torment"
179.000,182.500," because you've been through lots of body pain and lots of emotional"
182.900,188.500," stuff as surface and you find yourself very frustrated that the practice isn't going the way it's supposed to go"
189.000,191.700," you know actually it is it's going exactly the way it's supposed to go"
192.900,193.900," but it doesn't feel like it"
194.300,196.100," or you always the seat of bliss"
197.000,198.100," you've been finding this"
198.500,202.600," incredible samadhi this calm this piece this attentiveness that"
203.200,205.300," nothing seems to switch off it's just"
205.700,206.200," riding"
207.200,208.300," gorgeous"
210.200,215.000," tropical left break of a bliss you know it can happen"
216.100,218.600," but either way when you come back actually"
219.400,220.200," you suddenly"
221.700,222.300," you suddenly"
222.600,224.900," start to sense more vividly"
225.300,227.800," but like there's like there's an underground route system"
228.600,231.200," and we just hadn't been aware of this connecting us with others"
231.800,232.400," it's a kind of"
233.300,235.900," subtle communion"
236.100,239.100," you know community showing itself in a way that"
239.700,241.900," just isn't the normal ways but is"
242.700,243.600," very real"
244.800,245.000," and"
246.500,248.400," I know this is a different format"
249.100,250.200," we have here where"
252.200,252.700," it's not"
253.600,255.700," it's not just silence and stillness"
257.200,259.000," and and God help you if you don't"
259.500,260.600," be silent and still"
262.500,265.800," in the strict and monasteries now they don't like it yeah"
268.200,270.300," it but this is of course it's different"
270.800,273.200," but actually it's also the same"
274.000,274.200," that's"
274.500,275.700," also the same"
276.500,277.500," unseen"
278.000,280.900," Gathering together that's being going on these days"
281.600,282.500," and it doesn't matter"
283.100,284.500," if you if you really feel"
285.200,287.100," you're not feeling that at all"
287.900,288.600," and Henry"
289.600,291.100," is once again talking crazy stuff"
291.600,295.100," or if you are feeling it it doesn't really matter"
296.100,298.900," because so much of the journey of practice"
300.000,301.800," is that is really unconscious"
303.100,305.300," so much ripening is going on"
305.900,307.100," unknown to us"
308.300,308.400," now"
309.100,309.600," we need"
310.800,311.700," I mean these days"
312.300,313.100," you know in the world of"
314.000,316.700," the mindfulness movement the massive mindfulness movement"
317.300,321.000," of course understandably every everybody sort of wants the conscience"
321.400,322.400," benefits of practice"
323.000,326.700," and very understandably and and they can be there too"
327.600,331.900," and they're kind of maybe in a way need to be to keep us motivated and incentivized"
332.900,333.300," but"
333.900,336.300," whether you know so if we're not getting"
337.000,340.500," consciously detectable benefits we probably will stop"
341.300,341.500," you know"
343.400,343.600," but"
344.400,344.700," truly"
345.200,346.700," the greater benefits"
347.400,347.700," grow"
348.800,349.300," underneath"
349.900,353.400," the surface of our conscious awareness they really do and"
354.600,356.300," that's a hard thing I know to"
356.700,357.400," take on Trust"
358.100,360.500," and I certainly didn't for many a year"
361.100,362.800," I I really"
363.300,365.100," was very attuned to how"
366.100,369.500," how much I was enjoying practice when I had a sit"
370.000,372.000," and how much I could send it in my life"
372.600,373.100," or not"
373.900,375.700," you know but I kept doing it anyway"
376.500,380.500," because I was desperate enough basically to have to just keep doing it"
381.300,383.400," and I got so off the rails if I didn't do it"
384.200,385.500," I got I know it was partly"
386.700,393.100," me being nervous and anxious and feeling oh my god I didn't do it today oh my god what's gonna happen to me you know"
393.800,395.900," and there was also partly that's actually"
397.000,398.700," we do get a little more"
400.200,400.900," emotionally"
402.200,404.300," blowing in the winds you know if we're not"
405.300,410.300," deadly practicing some of us anyway many of us probably will find that if we used to a practice"
412.000,412.100," but"
413.100,413.800," all along"
415.000,416.900," there's other processes that are happening"
417.900,419.100," that we're not aware of"
420.000,422.000," and that is a I suppose that's a face"
422.600,423.700," thing or a trust thing"
424.500,425.400," to trust that"
426.200,427.800," there is something going on"
429.000,431.300," above and beyond what we can sense"
431.900,432.100," and"
433.700,435.300," in unexpected ways"
435.700,437.100," not in expected ways"
439.600,440.000," sometimes"
440.600,440.800," those"
441.500,443.000," what those processes have been"
443.500,444.300," about will just"
445.000,445.200," break"
445.700,446.300," through the surface"
446.900,447.600," and show themselves"
449.300,449.300," and"
453.100,453.500," so"
454.500,456.000," just to kind of"
456.800,458.000," underscore"
459.000,462.400," that in a gathering like this over these days"
463.400,464.600," there's all that we know"
465.500,466.200," that's going on"
466.900,469.200," and there's also all that we don't know"
469.600,470.500," there's also going on"
474.800,475.600," okay that's"
476.100,477.000," do a bit of sitting"
493.700,494.500," no just water"
498.100,500.500," okay so we'll I'll do some guidance and"
502.200,505.000," a little hopefully get some quiet as well and"
506.700,508.600," sort of thinking 25 minutes"
509.300,510.200," we'll see how we go"
512.400,514.500," I'll try to have a soft ending so"
515.700,520.200," a blurry ending so those who want to keep sitting just just keep sitting for a while"
522.200,523.400," those who want to move and"
524.700,524.800," and"
526.500,527.900," perhaps even get up that's okay"
529.400,530.300," and"
534.100,535.700," I feel that sort of lead you through"
537.200,541.100," just some of that I often do and I found very useful over the years"
585.700,586.400," so let's"
586.600,589.200," start with getting the spine"
589.600,590.200," comfortable"
590.800,592.100," if it's supported"
592.900,595.700," really let it be supported feel"
597.300,601.200," the support behind you holding you up holding up your spine really"
602.300,605.600," trusted enjoy it release into it letting"
608.100,612.900," Letting your upper body relaxed and if you're balanced with a free spine"
614.400,618.000," yeah do a little side to side a little front and back"
619.200,624.100," the area away and you can actually you can also do little circles they can be really nice"
625.000,628.400," tiny little circles that get smaller and smaller like a spiral"
629.800,630.900," and as you're doing that"
631.300,634.300," let yourself kind of align your spine as well"
635.200,636.500," it might need a little adjustment"
637.900,639.900," often I find you know with with"
641.000,641.800," with with with with with"
643.800,644.900," the male body"
645.600,647.000," often we need a little more"
648.300,654.400," lumbar arch the the lower back coming forward the belly button moving forwards just a bit"
655.000,655.600," and sometimes"
656.800,659.600," female spine often seems to be a bit more"
661.100,662.600," well aligned anyway but"
664.100,666.700," I might be quite wrong about that so just check that you're"
667.500,670.800," you've got a little bit of lumbar art in the lower spine if you're"
673.100,674.400," if you're back is free"
676.300,677.400," and then you can whatever"
678.200,680.500," is happening with your spine you can let the shoulders"
682.500,683.700," kind of be a bit heavy"
685.300,687.000," not to the front not to the back"
688.000,688.300," down"
690.700,691.500," like a pair of"
692.100,693.600," heavy epilepsy"
696.300,697.300," sinking shoulders"
700.600,704.900," and that syncing is also happening to arms and hands"
706.300,709.800," like really imagine thick damp"
710.200,710.500," heavy"
711.200,711.800," ropes"
712.900,714.200," a little sailing ship"
715.300,716.500," that your arms be like that"
720.100,724.700," and you might even sense a bit of a drawer down from your neck and your throat"
725.800,727.300," cause of these heavy ropes"
728.900,732.800," that's good that's fine and let your chin and jewel go"
742.300,744.100," maybe let the"
745.900,747.800," the back of the head rise"
748.500,752.700," a tiny bit as if it was rising up a wall behind you"
753.300,754.200," back of the head"
755.000,757.700," so the chin actually moves a little bit into the throat"
759.600,760.500," just a wee bit"
761.900,763.100," and the back of the head"
764.200,766.600," and back of the neck it's as if they're slidin'"
767.800,768.600," a tiny bit"
769.400,770.800," upper wall behind you"
772.700,777.000," okay but then we got to relax everything so hold that position and relax relax relax"
778.200,778.900," that go like"
781.100,782.000," feel the seat"
783.600,784.200," a seat"
784.800,785.000," should"
785.500,789.200," press a bit more as we relax there should be a bit more pressure"
790.900,792.700," basically as if we are getting heavier"
802.200,806.700," however there are arranged let your lower limbs your legs be almost like a nest"
809.700,811.400," or routes that are kind of"
812.600,814.000," melded with the Earth"
817.400,818.900," and the upper body is like a"
819.100,819.900," stork"
820.600,821.200," of a flower"
827.200,827.700," Rising"
829.200,829.600," freely"
837.000,837.400," and we're going to"
