Start time,End time,Transcript
3.700,4.100,"great"
5.000,5.300," well"
6.900,9.700," I'm actually a little bit sort of flabbergasted"
10.100,11.800," when we thought of doing"
13.200,14.300," I say we"
14.900,15.500," Jeremy"
15.700,15.800," Who"
16.600,18.500," the program manager back in Santa Fe"
19.000,20.200," and I thought of"
20.900,22.900," doing you know some kind of live"
23.300,24.200," in person"
25.000,26.400," I think they call it IRL"
28.100,28.700," in real life"
29.100,30.400," I didn't know that until the other day"
30.900,31.500," but events"
32.000,32.600," here in London"
33.600,34.600," you know it's just a sort of"
35.100,36.400," will of a whisper of an idea"
37.400,39.500," and then we thought we had okay let's try it and maybe"
40.500,43.500," you know it doesn't people or two doesn't people might come"
44.100,46.800," and instead it's it's so many people all of you"
47.400,47.800," have made"
48.600,49.600," the gap in your"
50.000,51.500," in your in your Diaries and calendars"
52.300,53.300," some of you have travels"
54.600,57.100," you know well at least I think you have from"
57.500,58.700," it looks like it only lists"
59.800,60.200," parts"
60.900,61.100," like"
62.100,67.600," the Norway and Amsterdam and even a few from the US who assume I hope we're over here anyway"
68.100,68.400," and"
69.300,74.100," but welcome welcome all of you what an extraordinary and wonderful thing that we get to gather"
74.800,76.000," in a place like this"
79.700,84.200," I mean the moment I walked in I was I was really I really felt it this is"
84.900,87.900," and I think this is a slice out of a church by the looks of"
88.500,90.500," it anyway it's part of my"
91.700,95.200," choose if not physically literally just the cut a bit out of"
95.500,97.400," it given us this based on meditation"
98.200,99.200," but it's a lovely place"
100.100,101.000," and it's a lovely day"
101.500,103.400," and it's one of the most beautiful squares in London"
104.500,105.400," and here we are"
107.400,108.200," to do"
110.000,112.100," to do as little as"
114.400,114.700," literally"
115.200,116.100," that's the objective"
117.000,117.700," it's the stock"
118.200,118.400," doing"
119.600,119.900," anything"
122.900,124.000," that's what we gather"
124.900,125.000," to do"
126.000,126.100," it's"
126.500,127.200," that simple"
127.900,128.600," but not always"
129.200,129.600," so easy"
130.600,131.400," but before we"
132.500,134.700," before we get into that too much I want to say"
135.600,137.500," various thanks right off the back now"
138.400,140.300," here now your chino has been a"
140.800,143.300," an absolutely incredible help to make it happen"
145.800,146.800," and many many ways"
147.900,149.300," thank you now so much"
151.900,153.100," into the tartiere"
155.000,156.400," agreeing to have us here"
157.100,159.200," it's been the home these last"
160.800,162.500," half dozen years or so of"
163.300,163.400," the"
164.600,166.100," so-called oxford's end group"
166.500,167.700," operating in London"
168.300,169.700," which it does as well as Oxford"
171.600,171.700," and"
172.100,177.900," which I haven't but I never had a chance to come here because I used to sit back in the day when I was sitting more regularly with it"
178.200,179.900," the same group that here"
182.100,182.700," meet in the"
185.500,186.500," agonal chamber"
187.200,188.400," right at the top of the tower"
189.000,189.500," instantly"
191.600,193.500," that was a that was a thing"
193.900,194.500," that's exactly"
200.600,202.000," well that's it"
206.000,206.000," you"
217.800,219.300,"that that will go to attention right"
219.700,221.800," is that good is that okay sound wise"
222.400,222.600," um"
223.500,224.500," so thank you to"
225.500,229.800," meditate you it run by father Lawrence Greenman by the way so worldwide"
230.500,231.600," Christian"
232.500,233.400," meditation"
233.800,234.000," group"
234.600,235.200," so that bringing"
237.200,237.600," their"
238.900,240.600," like it's the reigniting"
241.800,241.900," that"
242.400,244.600," part of the Christian tradition but"
247.000,247.100," is"
247.800,248.400," is that okay"
249.200,249.800," we're good yeah"
250.100,250.400," but"
251.500,253.500," you know we're very quiet for long"
253.700,254.500," time the contemplative"
255.600,256.300," side of me"
257.200,257.600," and"
258.500,259.300," there's a nice"
260.200,261.000," comfortable fit"
261.900,262.400," that we bringing"
264.300,265.800," not exactly sure what this is but"
266.400,268.000," is it's a good place for me"
268.600,271.200," it's a mix of then and some of the Passenger"
273.100,273.800," the bit of everything"
274.500,275.000," poetry"
276.200,277.200," general dark"
278.800,280.100," dharma meaning teaching"
281.000,281.400," but also"
283.700,283.800," the"
286.600,288.300," well what I want to say it reality"
288.800,289.600," the reality"
290.100,291.000," of truth of the things"
291.500,292.000," the truth"
293.300,294.900," but all things are exactly as they are"
295.800,298.900," and also the truth that just under the surface"
299.400,300.100," that Appearances"
301.500,302.200," but is also in"
304.000,304.700," and that truth"
305.200,305.400," with the"
307.200,308.500," maybe a small team"
309.000,309.600," a bit safer"
310.300,310.400," that"
312.200,312.400," truth"
313.900,314.100," is"
315.300,315.400," the"
316.300,317.200," best thing"
319.000,319.200," we could"
320.600,321.800," it's the best thing there is"
322.500,322.500," what"
324.400,325.300," and it's all ways"
326.100,326.300," here"
329.000,331.100," I think there's human being personally I"
332.000,333.200," this is to come back"
335.200,335.700," it's not a"
336.700,337.100," it's here"
337.900,340.700," and it is a part because we don't wreck"
342.700,343.700," as often as we might"
344.400,345.800," and it's so easy"
347.100,347.700," that's a simple"
348.600,349.300," but somehow"
349.700,350.900," we still need"
351.300,351.600," to do it"
352.300,356.800," we don't automatically do we have a kind of evolutionary wiring"
357.700,358.800," that pushes us in"
359.300,361.800," by the directions mostly away from"
362.400,364.100," the way we're gazing in the world"
365.200,365.900," around us"
366.600,367.000," in a way"
367.600,369.900," that we think will bring us the piece we must"
370.400,371.100," most Young"
371.800,372.200," Thing"
373.900,378.000," because we think if we can just get the world to behave the way we want it to"
378.800,379.600," we'll be ok"
380.600,381.400," I mean I'd say"
382.500,384.000," they'll still it's a very Common"
384.500,384.700," human"
385.800,386.400," habit"
387.000,388.500," and we can get vary"
389.900,391.900," convinced that quite upset about"
393.100,395.600," we can be quite harmful in the process of trying to"
396.400,396.700," sometimes"
397.400,401.900," we don't recognise it but sometimes we do but we can get off with all of us have the best"
402.900,404.400," to get quite harmful in a way"
404.900,407.000," to make the world Co"
408.900,409.900," world meaning"
410.700,412.400," everything in the world including other people"
413.800,413.900," but"
414.300,414.700," actually"
416.600,417.500," there's a really"
417.900,418.300," different"
418.800,418.900," what"
423.800,425.200," really difficult thing"
426.600,426.800," and"
429.400,430.000," I'm not going to"
432.600,433.900," much about it right now"
434.700,436.300," because we all know it"
436.600,439.300," it if some degree we've all tasted it at times"
439.800,440.400," but somehow"
441.100,441.500," everything"
442.400,443.300," it's spittle"
443.600,447.200," for the many things that manifestly not"
448.700,449.000," some"
449.900,450.500," will take"
451.200,452.000," times"
456.000,456.300," just"
457.000,457.100," well"
458.100,458.400," okay"
460.500,463.300," and we might think we would receive our supplement those times"
463.800,466.300," but I think not I think we weren't"
466.800,467.500," seeing this"
468.900,470.400," we were doing that opposite"
470.900,471.500," that's when"
472.000,472.800," we're close"
473.700,475.400," to the actual reality"
475.700,477.400," of this state"
478.500,479.100," called lion"
480.200,480.800," which we don't"
482.000,483.600," go on except in heaven"
484.000,484.900," I'm going to pause"
485.600,486.000," and read"
486.200,486.900," all of"
487.500,487.700," okay"
488.300,488.600," pause"
492.600,493.000," actually"
493.900,494.300," my thanks"
494.800,495.700," so let me know"
498.200,499.200," see what else would on that"
502.800,503.300," yes"
503.700,504.800," yes yes yes yes yes yes"
505.300,506.500," I mean the amazing thing"
507.000,507.300," so"
508.600,508.900," actually"
509.800,510.000," well"
510.600,512.100," I only started doing"
514.500,514.900," time"
516.200,516.400," since"
516.900,517.600," 20"
518.300,520.700," 20 March the 15th 2020 this is the third"
521.900,523.400," but I've been involved in a"
524.300,525.500," you know an IRL"
526.400,530.600," code teaching I don't know if that's the right word but sharing or would have to do gather"
531.900,534.500," so it's amazing actually to be able to"
536.400,536.800," and I think"
538.000,540.200," safely don't really have to worry too much like that"
545.300,546.100," so it's worth just"
547.200,547.500," taking"
548.100,548.400," note"
548.800,549.200," of that"
550.700,551.300," a little Thang"
553.200,554.000," you know hearts"
555.500,555.800," To Be"
556.400,557.700," amongst others"
558.700,559.300," lie"
559.500,560.200," warm body"
561.700,562.100," also"
564.100,568.500," engaged in the Marvelous see nothing at all"
576.000,577.800," yeah we'll get into some"
578.000,579.000," meditation now"
582.300,585.600," got a feeling there's a little bit of housekeeping that just want to say actually yeah"
586.000,586.100," we"
588.200,588.500," brings"
589.100,590.100," I think best to just"
591.200,591.600," quietly"
593.200,593.900," up if you need"
595.100,597.500," fluid adjustment of any kind of drinks as well"
598.000,598.400," rather than"
599.400,601.600," having a dedicated break when everybody"
602.600,603.500," just go when you need to"
604.300,604.400," and"
605.800,606.000," I mean"
607.400,607.700," coffee"
611.100,611.400," cookies"
613.200,614.600," and but go"
615.400,617.300," all you have to do is go mind"
618.200,619.300," if you work at me"
620.600,621.100," in other words"
622.000,622.400," go"
625.100,625.900," sense slower"
627.300,627.400," than"
628.100,629.200," you might naturally"
630.100,630.300," but"
631.300,632.000," you'll be my"
632.900,633.400," move"
634.400,635.700," that you won't be serve anyone"
636.500,638.100," if you do it doesn't"
639.300,639.900," we're all just"
640.600,641.500," basking in"
642.200,643.400," nothing so it's all time"
645.800,647.200," pizza housekeeping is"
649.600,651.000," I've really liked"
651.400,653.200," the I really like it"
654.200,655.800," it's like if I really like people"
656.800,658.400," to be people things might sound"
658.900,660.600," strange but I like people to be able"
662.100,662.600," and that"
664.700,665.500," and that's basic"
667.100,669.900," and this basic at the back and there's a little bit of space at the side"
671.000,672.600," and I think that's about it but"
673.700,673.800," it's a"
674.700,675.100," thing to do"
676.400,676.700," often"
677.200,678.100," we've been-- rushing"
678.900,680.100," without knowing we've been-- rushing"
680.800,681.300," for days"
681.700,682.500," weeks per month"
683.200,683.700," possibly"
684.500,684.800," a year"
687.900,690.000," and we come to a Day Like This"
691.100,691.300," which"
693.100,693.600," declared"
694.100,694.700," app time"
695.500,696.900," but actually"
697.400,698.400," when we stop"
700.100,701.500," when the body becomes still"
703.000,703.800," the mind"
705.600,709.400," will in time follow it but it may not be immediately but when the body becomes still"
711.000,712.700," and when our whole system"
713.900,715.200," is given a chance"
717.400,719.100," to be itself"
720.100,721.300," without having approach"
721.700,722.000," or"
723.300,724.100," external"
725.000,725.800," generate"
726.400,727.000," output"
728.100,728.400," when"
729.800,730.400," a ruption"
731.300,732.300," in the momentum"
732.900,733.700," of that kind of"
734.800,736.300," gobbling our way to likely"
737.000,737.800," churning along"
738.400,739.300," with consuming and"
739.600,741.900," producing without put"
743.000,743.500," up"
745.400,748.500," that just for a day and actually for some of you a day might be quite long time"
749.600,750.300," but when that"
751.900,752.100," happens the"
753.800,755.000," services"
757.100,757.500," great"
758.700,759.400," as a chance"
773.000,773.500," thank you you might"
778.000,778.100," see so"
780.300,781.400," they're the best you can"
782.200,782.800," you cannot"
786.200,787.400," anybody fall off"
