Start time,End time,Transcript
4.900,7.600,"welcome welcome welcome welcome"
8.500,10.100," everyone whether"
11.000,16.900," you're coming here from previous original love programs whether you're here because you've"
17.500,19.500," picked up Henry's original love book"
20.300,22.000," or you found us through"
22.600,23.700," the way app"
23.900,25.500," welcome welcome welcome welcome welcome welcome welcome"
26.300,28.300," to this first day"
28.700,30.800," of the three-part series"
31.600,34.300," mountains rivers and the great Earth"
35.300,36.700," a deeper exploration"
37.700,39.500," of what practice can teach us"
40.400,41.900," about our relationship to the world"
43.300,45.500," we are so happy to be here with you"
46.500,52.000," and as you can see in the chat folks are already saying hello from all around the world"
53.100,60.100," Victoria BC Tucson Germany Boston Bavaria Cornwall"
60.800,64.000," Sacramento oh hi Shetland"
65.100,66.200," Saskatoon"
66.600,70.100," wow I can feel the whole world's wide embrace"
71.000,73.800," coming into this zoom room"
75.100,80.400," Oxfordshire North Carolina San Francisco hello hello"
83.100,83.800," Milwaukee"
84.900,85.200," ah"
85.800,86.300," well as we"
87.100,88.800," start off this first day"
89.600,91.100," of this three-part series"
91.800,95.100," would be wonderful to hear not just where you're zooming in from"
96.100,96.200," but"
96.800,97.900," how you are doing"
98.900,99.500," what is the"
100.400,103.000," energy you are coming to today with"
104.400,105.200," all is welcome"
106.800,108.800," go ahead and let us know in the chat"
111.300,112.200," how are you today"
118.200,119.000," in need of rest"
120.300,121.400," I feel you Jonathan"
122.500,124.700," hopefully this can be restful for you"
125.500,125.700," happy"
126.400,129.500," excited for this experience excited to be here"
130.500,131.600," groovy"
132.900,134.700," fresh energy of anticipation"
136.000,136.300," open"
137.300,138.300," caffeinated"
138.900,139.600," curious"
140.700,143.200," wow wonderful thank you all so much"
143.900,145.500," Henry's right here listening in"
146.500,147.800," to see how you all are doing"
150.200,152.400," beautiful beautiful or appreciative"
153.000,153.400," well"
153.900,157.100," in just a moment I will pass it over to Henry"
157.700,158.700," and he'll say his"
159.700,160.300," hellos"
161.700,163.900," and a few opening words and"
165.600,165.800," oh"
166.900,170.900," I'm I'm being reminded to let you know who I am I'm Sarah"
171.500,172.300," giffen and"
172.800,175.500," many of you recognise me from the Ole team"
177.600,180.700," and really happy to be here this morning and see you all again"
181.300,182.300," new faces and old"
183.600,184.800," so I'm pass it over to Henry"
185.500,188.100," he'll do some opening words and some opening practice"
188.900,190.800," and then we'll have some Q&A today"
191.600,191.600," so"
192.400,193.900," let's Get It Started"
196.400,197.400," asking it over to Henry"
203.500,205.800," right beautiful beautiful huh hello everybody"
208.000,209.800," great to be with you for another"
210.600,212.100," original love Sunday"
213.000,213.800," and they"
214.900,218.000," an expiration you know of of our human"
219.600,221.700," of our human experience what it is"
222.200,222.600," to be"
223.600,224.200," embodied"
225.400,226.000," human body"
227.000,227.100," human"
227.800,228.300," heart"
229.300,229.700," human"
230.200,230.700," mind"
232.200,233.900," human awareness human consciousness"
235.700,236.700," in this"
237.800,238.100," very"
238.700,239.000," world"
240.600,241.300," just not"
241.900,242.200," forgetting"
243.700,244.200," that we"
244.900,246.600," do not that we that we"
247.100,250.100," exist in entirely dependently"
251.300,251.900," you know as"
252.800,253.000," some"
254.000,255.100," teachers are commentators"
255.600,255.800," say"
256.500,257.200," you know are"
257.900,261.500," well actually particularly I'm thinking of Stephen Jenkinson right now he said"
264.100,268.600," by the way some of you if you don't know him he's he did a great movie called grief Walker"
269.600,271.500," greif Walker it's a documentary"
272.300,273.000," about his work"
273.600,273.700," with"
274.600,275.000," the dying"
276.900,279.000," us actually in effect we are"
280.300,283.100," we are The Dying that we may not like to remember it but we are"
283.900,285.000," and anyway Stephen"
285.600,288.500," Jenkinson says life you know our life is not"
289.500,289.900," actually"
290.600,292.500," a gift it's a loan"
293.700,294.600," we are alone"
296.100,296.600," the stuff"
297.100,298.500," that makes this body"
299.300,300.400," this experience"
301.700,306.100," and when the time is up the loan will be recalled"
307.400,310.400," so he actually encourages us to remember that"
311.200,311.400," you know"
312.200,312.600," what"
313.800,315.000," gives us our life"
315.800,316.000," it's"
316.500,319.400," kind of come from someone he says it's like it's left a hole"
320.800,324.000," it's left a hole what is being given to make us"
324.700,326.600," as left a hole in the Fabric of this"
327.200,327.800," great Earth"
328.700,332.900," and that whole will be refilled you know it will be paid back"
334.400,334.800," so our"
335.400,336.100," just the more"
337.300,338.700," we recognise our"
340.600,342.200," total dependency actually"
342.700,343.600," it's very"
344.600,347.500," it's a beautiful heart softening heart opening"
348.000,348.400," thing"
349.300,350.300," to recognise that anyway"
350.800,351.800," we will be exploring"
352.700,355.800," you know how how are we related to this planet"
356.600,359.700," and how might we become more aware of"
360.600,365.600," it and there's different levels you know there's somebody who know me from this from this"
365.900,368.800," both from this original love programme from the original of book"
369.100,370.300," from the way app"
370.700,373.300," however you've come to this very morning Right Here and Now"
373.900,377.200," you'll know that I believe in their not only being"
377.900,379.000," one level of"
379.700,380.500," true practice"
381.400,385.400," there's whatever level so to speak we're on is the true level"
386.100,387.100," you know whether it's about"
387.700,387.900," just"
388.500,391.500," finding our way to settling into mindfulness whether it's about"
392.200,393.100," discovering a"
393.700,396.600," mind-blowing cosmic unity with the whole universe"
397.100,397.800," buying two"
398.400,399.500," but actually they're both"
401.000,403.100," equally relevant equally valuable"
404.100,405.100," and equally"
407.000,407.600," parts"
407.900,408.700," that helped"
409.100,409.500," us"
411.000,411.200," with"
412.400,413.200," the basic problem"
414.300,414.400," that"
416.100,419.300," has generated all these different forms of practice which is"
420.900,423.100," I mean in a nutshell it's human suffering"
423.900,426.900," but understood both as the fact that we suffer"
427.500,429.600," and as that we cause suffering"
430.700,431.300," so it's really"
432.200,432.700," how do we"
435.500,436.800," I mean you know the the first"
437.400,438.600," point of Buddhism that"
439.300,440.700," Foundation of Buddhism"
442.000,444.000," is is the statement there"
444.500,444.800," is"
445.500,445.900," suffering"
447.400,448.600," that's the first noble truth"
449.800,449.900," and"
453.200,454.200," that's all ways"
454.700,455.500," you know are"
456.400,457.400," beginning place"
457.700,458.600," that we suffer"
460.100,461.500," others we love suffer"
462.800,463.700," this world"
464.800,467.200," is by some reckonings"
468.900,470.800," all Waze on fire"
471.300,473.000," always a process of"
