Start time,End time,Transcript
5.300,6.100,"good morning everybody"
7.600,12.000," welcome to a session 2 of mountains rivers and the great Earth series"
12.800,16.800," I'm Luke Winston I live in encinitas I'm an original love facilitator"
17.300,19.700," and a long time student of Henry's and I'm really happy to be here"
20.500,21.300," hosting today"
22.800,26.400," please drop into the chat where you are tuning in from"
27.200,28.400," and how you're feeling today"
29.900,32.100," I'll read these as a quick intro"
32.800,33.100," while we"
35.000,38.100," prepare for him to come so lots of people oceanside"
38.400,38.700," nice"
39.600,39.900," Chicago"
40.600,41.300," hot again"
42.300,43.600," Santa Fe awesome"
44.100,45.300," Toronto Canada"
46.200,46.600," England"
47.600,48.000," Berlin"
48.500,49.200," no valley"
51.500,52.200," Bali"
52.700,53.500," Switzerland"
55.000,56.800," and Faye London UK"
58.000,59.300," Sitka Alaska"
60.000,60.800," Dallas Fort Worth"
62.200,63.500," amazing well all over"
64.500,65.400," this beautiful planet"
66.400,67.200," at welcome everybody"
67.700,69.700," and without further ado I'm going to"
71.000,72.100," turn it over to"
72.800,73.400," Henry himself"
75.700,78.800," hi hi hi Luke greater great to have you with us thank you"
79.600,82.300," and everybody welcome good"
83.300,86.100," good to have you with us from all over the place I'm just still"
86.700,87.900," absorbing some of these"
89.600,93.900," multifarious spots around the world from Santiago to Compostela and Spain"
94.900,99.300," Gloucester mass Gloucester mass Cornwall UK cool and Comic Cape Town"
100.400,106.900," lovely morning in Albuquerque Bellingham Washington energized Waterloo Ontario Dallas Texas San Rafael"
108.000,112.800," but I hope let's great we'll lovely to be Gathering like this"
116.300,118.900," in our multifarious"
120.500,122.400," way from around the world"
124.600,125.300," to be here"
125.700,126.500," to be right here"
126.900,127.300," to be"
128.000,129.600," tuning in to"
132.200,132.400," the"
134.100,135.200," basic fact"
135.700,135.900," of"
136.800,137.100," our"
137.600,140.000," existence which is that in some way"
140.800,141.500," we exist"
142.100,144.400," in some way we exist and we can explore"
145.500,147.200," what that existence"
148.100,148.300," is"
149.500,151.100," what it is to be human"
151.900,153.600," being with human body"
154.500,156.600," human mind human heart"
158.200,159.200," and there are"
160.300,162.000," lots of benefits to"
163.500,166.000," unplugging from the Stream"
167.200,169.700," of our ordinary way of being in the world which"
170.200,171.000," you know many of us"
171.900,173.500," just kind of get caught in a"
174.000,174.200," you know"
174.700,175.900," current of"
176.900,177.800," all kinds of"
180.100,183.700," all kinds of micro currents that are just pulling us and"
184.600,186.500," tugging on us and demanding our attention"
187.300,188.000," and keeping us"
188.500,188.900," away"
189.900,190.900," from recognising"
192.100,192.900," and underlying"
193.700,194.800," fact which is"
195.600,196.200," where existing"
197.700,199.600," where existing and we're aware of it"
200.100,200.900," if we want to be"
202.300,202.500," and"
203.500,206.600," so putting aside time like this Gathering like this"
209.300,209.800," just to be"
211.200,212.500," is is so"
213.200,213.900," import"
214.500,216.200," if we want to actually kind of"
217.900,219.700," Be Alive to the fact that we're alive"
220.900,221.800," and part of that"
223.400,224.000," aliveness"
224.900,226.700," is also about to discovering"
227.600,230.500," our Nan separatists the many ways in which we're"
231.700,234.100," we're profoundly connected and interconnected"
235.800,238.000," with one another and with this planet"
238.900,241.300," and this course is kind of dedicated"
242.300,243.200," mostly to"
244.600,245.300," being"
246.700,250.000," how how and what weighs we're connected with the planet"
250.900,252.500," and last week were sort of looking at"
253.200,256.500," in a way some sort of almost metaphorical ways of coming at that"
258.800,261.900," and you know we were sort-- of using"
263.000,264.900," some sense of our body as being"
265.800,269.600," you know akin and some not just our body but our experience with being sort of"
270.200,271.100," akin to"
272.000,274.300," aspects of this world like mountains"
275.600,276.100," rivers"
277.000,278.200," clouds we touched on"
279.400,280.800," in and the great Earth"
281.800,282.700," as in our title"
283.500,285.100," but this week we're going to"
285.900,287.000," we're going to"
287.800,291.000," we're going to switch Gear a little bit and move towards basically"
292.400,292.800," being"
293.600,296.900," just kind of opening up a little bit to being in the world"
299.200,301.500," you know as our context"
