Start time,End time,Transcript
4.700,5.500,"hi there everybody"
6.700,7.600," welcome welcome welcome"
8.700,10.200," if you all can give a little Wave"
10.800,13.400," to make sure that you can hear me yes great"
15.600,22.900," my name is Nadia budi I am subbing in for Jeremy the original love program manager"
24.700,28.300," the world's best program manager in my humble opinion he's also my partner"
28.900,33.200," he's joining us off camera today because he is in a"
33.800,35.400," remote exotic"
36.200,40.800," nature location today swashbuckler that he is so I will be hosting"
41.700,44.500," good to see all of your faces and welcome to"
45.400,46.800," our Sunday Session with Henry"
47.700,51.800," today's theme is coming back to original love"
52.200,53.400," coming back to original love"
55.500,60.600," and we'd love to get a sense of whose in the room and here from you in the chat"
61.000,62.100," so if you're willing"
62.700,68.300," give a little type and let us know where you're zooming in from and how the weather is both"
69.200,71.600," internally and externally"
72.500,74.700," just a few words from you in the chat would be great"
76.600,77.900," and I'll bring Henry on"
79.500,83.700," I'm right here thank you so much an idea for being here with us today"
84.600,84.700," and"
86.400,88.600," so sort of semi commiserations to Jeremy for"
89.200,91.600," but not not not being able to join in that"
92.100,93.200," hosting role"
93.600,96.000," but so lucky that we've got you instead idea"
96.500,98.600," thank you again and Jeremy's actually"
99.800,101.900," yeah he's where is in is it Arizona"
103.000,103.100," or"
103.700,107.100," California but it's way out in the middle of nowhere wherever it is right"
107.700,108.500," Death Valley"
109.000,111.200," Death Valley okay great great great"
111.900,113.000," so we got um"
113.500,114.600," Greg Brown in Michigan"
115.900,118.400," morning from Eldorado Santa Fe"
119.000,120.300," windy down central Kansas"
121.200,125.000," Bavaria 24 degrees that's quite warm"
125.200,127.200," Celsius good morning from warm sunny Houston"
127.900,129.000," Kingston Jamaica welcome"
130.000,131.900," welcome welcome welcome welcome welcome Manhattan clear skies and"
132.700,134.600," good for eclipse tomorrow yeah"
135.500,138.900," beautiful spring weather in Edmonton I guess that's Edmonton Alberta"
139.600,145.000," hi from Jefferson City Missouri windy Santa Fe it's very windy here wow wildly windy"
145.500,149.500," sunny sky inside and out today from Toronto"
150.600,151.000," Boston"
154.600,157.800," yeah Santa is very sharp from the Ghana Switzerland"
158.800,160.600," I'm just gonna try to catch up"
161.900,166.000," they come thick and fast hide from Brazil with soft cloud out and excitement within"
166.400,168.500," a nice to have you come in Brooklyn"
169.300,173.300," Hudson New York blue skies Vancouver Island where the living is easy yeah"
174.400,179.600," greetings from Pacific palisades lovely Vermont sunny and cold all of us are waiting the eclipse"
180.200,181.700," I guess you're going to get it though yeah"
182.200,183.100," greetings for Minnesota"
184.300,188.200," a bit misty all around great to be back Deborah Tucson"
188.400,189.800," beautiful weather here inside and out"
190.200,194.100," chilly windy sunny blue skies in Santa Fe in town where the improving great"
194.800,196.200," sunny and Cooling Marin County"
197.500,201.500," from Carla winding New Mexico beautiful beautiful down Albuquerque"
202.200,205.100," hyphen Death Valley yeah Claudy and France"
206.500,209.800," sign in very windy Scott and blooming in 10:00 Arizona"
210.800,216.100," hi there everybody from a finally sunny the Netherlands great to lose France howdy"
216.500,217.400," Azores"
217.900,219.500," hello everyone cloudy but warm today"
220.000,224.000," thought on my skin from an extensive bath in the ocean Ark love lovely"
224.800,227.400," rain in Minnesota okay cool cool cool"
227.900,229.700," greens from Cape of storms today"
230.600,233.100," that's the caper good hope capable good storms"
233.900,237.100," son wants to come through in Portland Oregon sleepy here in Wisconsin"
237.900,238.700," and New Hampshire"
239.600,240.500," or Connecticut"
241.200,242.500," Santa Fe rainy Cornwall"
243.400,246.100," Blue Ridge Mountains Boston wind in Harrow UK"
246.800,249.500," great great great great great great great great okay lovely lovely lovely"
250.600,252.500," um well thank you all for"
253.900,254.900," so much for coming on"
255.400,256.600," for another of these sessions"
259.500,259.700," yeah"
263.400,264.900," as I've said before you know"
265.800,267.300," yes we're all"
267.700,268.100," over"
269.400,270.600," different parts of the world"
271.200,272.700," but we're all in the same"
274.200,274.700," here"
275.800,276.300," why"
276.500,276.700," here"
277.600,277.900," is"
278.300,279.000," deep down"
280.200,284.900," or maybe not even that deep down but just we don't know really notice it but the real here"
285.900,288.700," that which is aware of here"
289.500,291.600," that which is aware"
292.500,293.800," of whatever is arising"
294.300,295.700," For You Here and Now"
296.500,296.700," both"
298.500,299.600," in terms of how you're doing"
301.200,301.900," and in terms of"
302.700,303.100," what your"
303.600,305.000," immediately experiencing"
306.500,307.900," so to speak externally"
309.000,312.300," in both cases that which is aware"
312.600,312.700," of"
313.200,313.400," it"
315.500,316.800," and is the true"
317.700,318.000," here"
319.800,320.900," is actually the same"
321.400,321.900," for all of us"
323.400,324.500," we meet in"
325.500,326.600," the real"
328.400,328.700," here"
330.800,331.800," that which is always here"
333.700,333.700," so"
334.700,334.900," that's"
337.400,337.800," kind of"
339.100,341.000," the target zone of today's session"
341.600,343.700," coming back to original"
344.500,344.800," love"
345.800,348.200," and those of you with a Zen background"
349.900,353.300," and maybe some of you who don't have a Zen background will have heard"
353.700,354.200," of the expression"
354.900,356.500," seeing your original"
357.000,357.300," face"
358.600,359.900," it's a one of them's"
360.400,362.100," somewhat poetic Waze"
363.900,364.800," of talking about"
365.800,367.100," an experience"
367.800,369.400," or a way of experiencing"
372.100,373.000," there's always going on"
374.200,374.800," but all of us"
375.700,378.200," and for most of us most of the time"
379.100,379.900," we overlooked it"
381.000,381.900," we just"
382.500,385.200," we just don't pay attention in that direction"
386.000,387.900," so we don't see the original face"
388.900,389.500," but what"
389.900,390.600," then"
391.500,392.000," discovered"
392.600,394.700," in the sixth- seventh- century"
395.600,396.700," is that it actually"
397.500,398.300," in a certain way"
399.400,400.700," it didn't take"
401.200,402.100," years of"
403.500,406.000," diligent dedicated arduous"
406.200,406.800," practice"
407.800,408.200," to see"
409.000,409.400," the original"
409.900,410.200," face"
411.300,412.700," they realise that actually"
414.600,416.900," in a more kind of democratic way actually"
417.600,419.000," anybody could see"
419.700,420.900," because this really always here"
422.200,423.300," it's just a matter of"
424.000,424.800," a tweak in"
425.800,427.700," the angle of our vision"
429.300,430.200," and we notice it"
431.300,434.600," and um so so in our sit today I'm going to be"
435.200,437.100," just sort of seeing what what we can do"
437.500,438.200," come back"
439.200,440.400," to it it's like"
441.700,442.500," it's really the"
443.400,448.100," it's you know you'll have heard me mentioned some of you before the story of a dancer"
448.500,449.600," who was a meditator"
450.000,452.900," and who created a dance piece about meditation"
453.800,455.700," and in the peace she"
456.200,457.200," she just had a"
457.800,461.500," a set of cushions a matte and a cushion and Center stage"
461.800,463.800," I mean I've never seen this I've only heard it described"
464.200,467.400," and she she sat on her cushion the dance was basically"
468.100,469.100," she sits on a cushion"
470.100,470.300," and"
471.700,474.500," you know gets in her meditation posture and is there for a moment"
475.200,478.800," and then looks around looks around the stage and all different directions you know"
479.400,481.000," and then suddenly remembers where she is"
481.500,482.800," and it gets back in the meditation"
483.700,485.300," then a moment later- again"
485.900,488.500," she looks up and she just gets up and runs over to something"
489.100,492.800," and dances around a little bit and then happens to turn around and see the cushion again"
493.200,493.800," it comes oh"
494.500,496.100," it's carrying back to it sits down again"
496.600,500.400," and then you know and on it goes until she's on a wild dance all around the stage"
500.900,502.800," you know and then again spots the cushion"
503.400,504.300," it looks a little moment"
504.800,507.200," doesn't care Carolina dancing looks at it again"
507.600,507.900," oh yeah"
508.200,508.400," okay"
508.900,510.200," comes back and sit down again"
510.700,511.400," and so that's a"
512.200,512.800," that's a"
513.200,516.300," beautiful you know portrayal of the process of"
517.000,520.100," meditating you know you most of us are given a thing like"
520.400,521.300," bolly or breathe and"
521.700,524.400," so we try to follow our breath we sit with the breath and then we're off"
524.700,527.400," all over the place you know in space and time we're gone"
528.100,529.400," from here then we come back"
530.300,531.400," then we can't then we come back"
532.300,532.800," but actually"
533.600,537.600," in a certain way I think that's also true of how how life goes that"
538.200,540.400," that sometimes we're we're really"
541.200,543.200," grounded in here and now"
