Start time,End time,Transcript
5.800,11.900,"welcome welcome welcome everyone so happy to be here with you today"
13.200,18.500," with Henry original love and the exploration of the path"
18.900,19.700," of effort"
20.300,21.400," and no effort"
22.600,27.000," wonderful to be with you those of you don't know me I'm Sarah I'll be emceeing today"
28.100,28.200," and"
28.900,30.800," just to kick things off"
31.700,32.900," Let's Hear how are you"
34.300,34.900," how is your"
35.400,38.700," heart today and where are you zooming in from"
39.400,40.100," go ahead and"
40.600,42.400," go into the chat and let us know"
43.700,44.500," how is your heart"
45.500,48.000," and where you zooming in from today"
50.700,59.200," from my Deck at 9,000 feet overlooking Solitude village in bright sun and blue skies heart full of love"
60.600,62.900," tulips two Loops tulips and Warsaw"
64.500,67.000," my heart is chirpy from Vancouver Island"
67.700,68.600," hello Lizzie"
70.700,72.900," nurtured and Montreal Canada"
75.100,77.000," hi from Cornwall"
78.500,80.900," Los Angeles heart medium rare"
81.900,82.900," best order I think"
84.700,86.000," open in Portland"
87.800,89.800," peaceful in the jara"
92.000,93.900," legit in the Gira Spain"
95.300,97.100," on the camino wow"
100.100,104.900," hi everybody from sunny yet Chile"
105.700,106.400," Holland"
108.200,108.500," it's just"
109.000,112.100," I you hear me say this every time it's like the chat"
112.800,116.300," populating is like the world spinning round and round I can't even keep up"
118.900,121.900," as open as it is in Lebanon"
122.800,123.400," New Hampshire"
124.700,127.400," feeling amazing and full of love and Denver"
130.100,132.300," sunny inside and out in Marin County"
133.100,133.400," hopeful"
134.300,134.900," in Chicago"
137.900,140.500," overcast and a bit chilly in Santa Fe"
142.500,143.200," beautiful"
144.100,146.500," happy to be in ole in Easter Island"
148.000,148.500," ah"
150.100,157.000," someone's in their car on the way to Chicago to see baby granddaughter congratulations and please drive safe"
157.500,159.000," there's nothing to see here only"
159.600,160.300," only listening"
161.900,165.800," awesome ah feeling appreciative and cloudy Seattle"
167.300,169.500," beautiful well thank you all for"
170.200,173.900," Gathering in and bringing your whole selves to the day of"
174.400,175.600," effort and no effort"
176.400,177.400," I'm gonna bring"
178.400,180.100," Henry over here to"
180.700,183.100," get a started with our session today"
184.500,184.900," you ready"
185.600,186.800," all right here we go"
