Start time,End time,Transcript
2.500,3.600,"okay welcome"
4.300,4.600," welcome"
5.100,5.200," yeah"
5.900,6.200," good to"
7.700,9.300," great to see you all great to be with you"
10.000,10.900," thanks for coming I know"
11.500,13.900," a good number of you have come from a good"
14.600,16.200," distance a good lead distance"
17.300,19.800," some of you really the other side of the world Singapore"
20.700,23.000," some of you from welcome Singapore"
23.700,29.100," so some of you from many parts of the us and also I think I saw Calgary Alberta"
29.300,30.100," on the list and"
31.200,32.300," other parts of Canada"
33.600,36.800," and online we have people in the UK"
37.900,39.600," and all over the US and"
40.100,41.800," Canada and elsewhere"
42.700,43.300," and we're all"
44.300,44.600," right"
45.200,45.400," here"
46.400,48.900," wherever we are this is where we are"
49.400,49.600," here"
51.300,53.900," and we call this weekend or"
55.000,56.300," well three days together"
57.000,57.500," coming home"
58.700,58.900," and"
61.400,62.200," I answered that"
62.800,65.200," the first word out of my mouth was welcomed"
66.200,68.500," and I always think that actually"
69.500,73.600," a true welcome is a little bit of a double-edged sword"
74.700,76.300," it's it's a come on in"
77.600,81.200," and come home that's our invitation"
82.300,82.900," but actually"
87.200,88.000," the Gathering"
89.200,89.600," of Us"
90.800,91.700," in a place like this"
92.500,93.400," at a time like this"
94.600,94.900," but the"
95.400,96.400," purpose Les"
97.000,97.500," purpose"
98.300,99.300," that we have here"
100.500,101.500," is not only"
106.200,107.900," easy warm lovely"
109.200,110.300," there's not only that"
111.800,112.600," it's actually"
113.600,114.800," like any true journey"
117.000,117.900," true journey"
119.000,121.900," in other words a true process of Discovery"
122.900,124.600," and perhaps of Change"
125.800,127.200," and an uncovering"
129.200,130.300," you know it's not only"
132.000,132.500," what we want"
133.200,133.600," it to be"
134.800,137.800," you know I I think the great wisdom of Buddhism"
138.800,141.600," all the great wisdom of Buddhism begins"
142.100,144.100," with the first noble truth"
145.600,147.500," that is suffer"
148.700,149.200," suffering"
149.800,150.700," exists"
152.200,156.200," that was actually the portal I mean the great wisdom of shaky Buddha"
156.500,157.700," sudata guitarra"
158.400,159.500," the great wisdom"
161.400,162.400," and courage"
163.500,164.600," of shaky Buddha"
165.400,166.500," was that he didn't"
167.100,169.200," try to get away from suffering"
170.100,171.700," he did the exact opposite"
172.300,173.800," he borrowed into it"
174.700,178.400," he did the thing that we least want to do with suffering"
179.600,182.300," and the thing we least want to do is actually experienced it"
183.000,185.200," in a we want will distract us ourselves from it"
186.000,189.300," will will run away from it if we possibly can"
189.800,192.300," we'll smother it will suppress it will"
193.300,193.500," just"
194.100,195.600," don't let me know about it"
196.200,196.300," please"
197.100,200.400," and I'll throw that rest of my life into a voiding it"
201.100,205.400," and to doing all these things that will keep me so busy that I won't have to feel it"
206.400,214.100," and somehow it'll have enough stuff around me that even at the moment of death or the time of death I still won't really have to feel it"
214.500,217.500," and maybe I can load my mind up with belief systems that"
217.900,224.500," make it easier and even more don't have to feel it you know and the wisdom of wisdom traditions"
225.200,226.000," is the opposite"
227.000,229.400," it's you know they start I forget where I read this book"
231.000,233.700," I think in a few places the wisdom of indigenous"
234.800,236.500," people's & indigenous wisdom"
237.200,238.300," is that they never"
239.100,240.600," avoid the dark stuff"
241.400,245.200," they think mostly the the spiritual path the human path"
245.800,247.300," is precisely the opposite"
247.800,249.600," it's going into the dark stuff"
250.300,251.500," it's going into the shadow"
252.200,253.100," as young put it"
253.600,254.700," because that's what"
255.100,255.600," really"
256.300,257.300," needs to be"
258.600,260.100," tended and known"
260.800,261.100," and"
261.900,263.700," opened up to and then"
264.700,266.600," we don't have to feel so bad actually"
267.300,268.100," then we can"
268.800,270.700," be changed by what we didn't want"
271.600,273.500," and grow through what we didn't want"
274.000,274.700," and that's actually"
275.500,277.900," a pretty good description of the Buddhist path"
278.500,279.700," there is suffering"
280.600,283.800," suffering has a cause if we go in"
284.400,286.300," and understand personally"
287.000,288.500," through personal experience"
288.900,290.000," what suffering"
290.200,292.700," suffering is and what is causes are"
293.200,293.900," in US"
294.600,298.700," and of course also in the systemic work let collectivity"
299.700,300.900," if we go into it"
301.300,301.800," then"
303.200,304.300," we can actually"
305.000,306.000," I mean this is the claim"
306.500,307.000," of Buddhism"
307.500,308.200," we can actually"
309.100,309.400," bring"
310.400,310.500," the"
311.400,312.600," causes of suffering"
313.900,314.000," to"
315.100,315.900," to a close"
317.300,317.800," to assess"
319.400,322.500," to all I would think it's probably better to think of it in terms of"
323.000,325.800," we can really see the causes"
326.700,328.700," when we really see them actually"
329.700,330.800," we kind of see"
