Start time,End time,Transcript
4.300,7.400,"morning day afternoon or evening everyone"
4.300,7.400,"morning day afternoon or evening everyone"
7.800,8.200," welcome"
7.800,8.200," welcome"
9.200,9.700," I'm Luke"
9.200,9.700," I'm Luke"
10.100,12.600," I'm Mam the Host today I'm tuning in from"
10.100,12.600," I'm Mam the Host today I'm tuning in from"
13.000,17.200," very bright sunny and sanitas California beautiful crisp cold morning here"
13.000,17.200," very bright sunny and sanitas California beautiful crisp cold morning here"
18.100,18.600," called for us"
18.100,18.600," called for us"
19.400,21.300," I'm just going to kind of run through some of the"
19.400,21.300," I'm just going to kind of run through some of the"
21.700,24.200," places I've seen people in the trap that in the chat"
21.700,24.200," places I've seen people in the trap that in the chat"
24.800,25.900," as zorze"
24.800,25.900," as zorze"
27.000,28.400," so a Bellingham Washington"
27.000,28.400," so a Bellingham Washington"
29.300,31.200," Sonny Dallas Texas Rochester New York"
29.300,31.200," Sonny Dallas Texas Rochester New York"
32.200,32.900," Ryan Beck New York"
32.200,32.900," Ryan Beck New York"
35.300,36.100," he was gain"
35.300,36.100," he was gain"
38.600,40.400," over Oregon la"
38.600,40.400," over Oregon la"
41.200,43.500," get the good New York Cornwall you know Kingdom"
41.200,43.500," get the good New York Cornwall you know Kingdom"
45.100,46.800," chili in the Netherlands Chicago"
45.100,46.800," chili in the Netherlands Chicago"
48.600,51.100," California Tucson Arizona Albuquerque"
48.600,51.100," California Tucson Arizona Albuquerque"
52.300,53.800," again Bellingham great Florida"
52.300,53.800," again Bellingham great Florida"
54.900,56.500," Colorado Lancaster"
54.900,56.500," Colorado Lancaster"
57.200,58.400," all right and Raphael"
57.200,58.400," all right and Raphael"
59.300,61.100," pleasure to be here with you all today"
59.300,61.100," pleasure to be here with you all today"
61.700,62.900," this is our fourth"
61.700,62.900," this is our fourth"
63.600,67.300," session in this four-part series On Coins a true person"
63.600,67.300," session in this four-part series On Coins a true person"
67.900,68.800," of no rank"
67.900,68.800," of no rank"
69.900,72.100," as soon as I see Henry come on the screen"
69.900,72.100," as soon as I see Henry come on the screen"
73.000,74.200," I will spotlight him"
73.000,74.200," I will spotlight him"
75.600,79.700," if you have not dropped in where you are in the chat please drop it in at some point we'll get to it"
75.600,79.700," if you have not dropped in where you are in the chat please drop it in at some point we'll get to it"
80.000,81.500," welcome everyone here's Henry"
80.000,81.500," welcome everyone here's Henry"
82.200,84.300," good morning everyone and good evening"
82.200,84.300," good morning everyone and good evening"
85.400,86.200," and good"
85.400,86.200," and good"
87.200,91.100," now creates a greater with everyone yeah it's very"
87.200,91.100," now creates a greater with everyone yeah it's very"
91.800,92.300," it's kind of"
91.800,92.300," it's kind of"
94.400,96.400," kind of a big day in a certain sense for"
94.400,96.400," kind of a big day in a certain sense for"
97.200,98.600," for us here this team because"
97.200,98.600," for us here this team because"
99.900,100.500," it's the last"
99.900,100.500," it's the last"
101.300,103.400," session of this original lamp programme this year"
101.300,103.400," session of this original lamp programme this year"
104.600,106.700," and I actually next year"
104.600,106.700," and I actually next year"
107.200,109.200," the original love program is kind of"
107.200,109.200," the original love program is kind of"
109.900,110.200," really"
109.900,110.200," really"
111.500,115.900," joining joining forces totally with the the app the way"
111.500,115.900," joining joining forces totally with the the app the way"
116.800,116.900," and"
116.800,116.900," and"
118.500,119.700," so it'll carry on"
118.500,119.700," so it'll carry on"
120.900,122.700," kind of in much the same guys but"
120.900,122.700," kind of in much the same guys but"
123.700,126.400," under a different under a different name really because it'll be"
123.700,126.400," under a different under a different name really because it'll be"
126.900,129.300," it'll be part of the way app"
126.900,129.300," it'll be part of the way app"
130.100,130.400," and"
130.100,130.400," and"
131.400,134.100," doing doing similar stuff very much the same stuff"
131.400,134.100," doing doing similar stuff very much the same stuff"
135.000,136.600," these live sessions on zoom"
135.000,136.600," these live sessions on zoom"
137.200,139.000," as the backbone of it this started"
137.200,139.000," as the backbone of it this started"
140.000,141.500," just FYI in"
140.000,141.500," just FYI in"
142.700,148.200," something like June of 2020 it was a it was a covid baby you know it's"
142.700,148.200," something like June of 2020 it was a it was a covid baby you know it's"
148.700,149.400," this program"
148.700,149.400," this program"
150.900,155.500," when mounting clouds then to close all in lockdown you know"
150.900,155.500," when mounting clouds then to close all in lockdown you know"
157.100,158.000," it was I was really"
157.100,158.000," it was I was really"
158.900,161.100," first I think what wasn't are we going to do"
158.900,161.100," first I think what wasn't are we going to do"
